;;;;;;;;;;;
AÑO SANCIÓN;MES SANCIÓN;Canal / Cable Operador;MES EMISIÓN;AÑO EMISIÓN;Contenidos Denunciados;MULTA ;TEMA DENUNICIADO;;;;
2012;DICIEMBRE;CLARO;AGOSTO ;2012;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por exponer en imágenes situaciones que involucran a menores de edad consumiendo drogas y alcohol, como asimismo protagonizando ilícitos, como los delitos de hurto y homicidio, en HTE.;0;Contenido Inapropiado para Menores en Horario de Protección (HTE);;;;
2012;DICIEMBRE;DIRECTV;SEPTIEMBRE;2012;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por secuencias extremadamente violentas en HTE.;0;Contenido Inapropiado para Menores en Horario de Protección (HTE);;;;
2012;DICIEMBRE;INET TV (Castro);MAYO;2012;– Incumplimiento de la obligación de informar que a partir de las 22:00 hrs., se transmite programación para mayores de 18 años.;0;Incumplimiento de Normativa Técnica (Señalización);;;;
2012;DICIEMBRE;RTV (Castro);MAYO;2012;– Incumplimiento de la obligación de informar que a partir de las 22:00 hrs., se transmite programación para mayores de 18 años.;0;"Incumplimiento de Normativa Técnica (Señalización)
";;;;
2012;DICIEMBRE;TV Pucón;AGOSTO ;2012;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por exponer a imágenes crudas y fuertes, propias de una criminalidad brutal y sádica, en HTE.;0;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2012;NOVIEMBRE;CANAL 13;JUNIO;2012;– Imágenes y diálogos que vulneran el derecho de menores abusados sexualmente al dar a conocer su identidad.;120;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2012;NOVIEMBRE;CLARO;JULIO;2012;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por exponer en imágenes situaciones crueles vinculadas al tráfico de drogas, discriminación racial, entre otras, en HTE.;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2012;NOVIEMBRE;DIRECTV;JUNIO;2012;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por la violencia y sexo en HTE;120;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2012;NOVIEMBRE;MEGA;MAYO;2012;– Transmitir contenidos inadecuados para ser visionados por menores en HTE.;120;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2012;NOVIEMBRE;TELEFÓNICA;JUNIO;2012;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por la inusitada violencia en HTE.;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2012;NOVIEMBRE;TVN;JUNIO;2012;-Imágenes y secuencias que vulneran la dignidad personal e inmigrantes colombianos en Chile.;120;"Vulneración de la Dignidad Personal
";;;;
2012;NOVIEMBRE;TVN;JULIO;2012;-Se afecta a la formación espiritual e intelectual de la niñez y la juventud por justificar la heterotutela, es decir, tomar las justicias por sus propias manos en HTE.;0;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2012;NOVIEMBRE;VTR;JUNIO;2012;-Se afecta a la formación espiritual e intelectual de la niñez y la juventud por transmitir la violencia y determinación de una mujer que comete crímenes diversos en HTE.;80;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2012;NOVIEMBRE;RADIO MÁS;;2012;-Incumplimiento de la obligación de informar que a partir de las 22:00 hrs., se transmite programación para mayores de 18 años.;0;"Incumplimiento de Normativa Técnica (Señalización)
";;;;
2012;OCTUBRE;CLARO;JUNIO;2012;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por la violencia tanto física como psíquica en HTE.;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2012;OCTUBRE;CHILEVISIÓN;ABRIL;2012;– Imágenes y diálogos que vulneran la dignidad de un menor de 12 años. ;30;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2012;OCTUBRE;CHILEVISIÓN;ABRIL;2012;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por secuencias de sexo y violencia en HTE.;30;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2012;OCTUBRE;CHILEVISIÓN;MAYO;2012;– Imágenes y diálogos que vulneran la dignidad de los integrantes del movimiento Hip Hop.;30;"Vulneración de la Dignidad Personal
";;;;
2012;OCTUBRE;LA RED;MAYO;2012;– Comentarios que vulneran la dignidad de Ximena Rincón, Jorge Valdivia, Daniela Aránguiz, Belén Hidalgo, Karen Doggenweiler, Michelle Bachelet, María Eugenia Larraín, Rodrigo Hintzpeter y Camila Vallejo.;120;"Vulneración de la Dignidad Personal
";;;;
2012;OCTUBRE;MEGA;ABRIL;2012;-Imágenes y diálogos que vulneran la dignidad de un menor de 12 años.;0;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2012;OCTUBRE;MEGA;MAYO;2012;– Imágenes y diálogos que vulneran la dignidad de una mujer supuesta víctima de robo, secuestro y violación.;120;"Vulneración de la Dignidad Personal
";;;;
